Order_ID,Customer_Name,Category,Product_Name,Price,Quantity,Order_Date,Delivery_Status,City,Discount_Pct
FK-1050,Customer_50,Home & Kitchen,Bajaj Iron,,3,05-06-25,Canceled,,30%
FK-1051,Customer_51,Clothing,Saree,-21214,3,06-10-25,delivered,Mumbai,NULL
FK-1052,Customer_52,Shoes,Puma Sneakers,9941,1,06-03-25,Returned,Bengaluru,10
FK-1053,Customer_53,home & kitchen,Pigeon Gas Stove,66376,1,08-07-25,returned,Chennai,16
1054,Customer_54,Home & Kitchen,Pigeon Gas Stove,2334,1,05-05-26,returned,Gurgaon,11%
FK-1055,Customer_55,Shoes,Adidas Sliders,,1,19-03-26,returned,Bengaluru,NULL
FK-1056,Customer_56,home & kitchen,Pigeon Gas Stove,50949,1,Dec 21 2025,Shipped,Pune,2
FK-1057,Customer_57,beauty,Maybelline Lipstick,30641,1,25-10-25,Shipped,Hyderabad,29
FK-1058,Customer_58,Home & Kitchen,Bajaj Iron,Rs. 58126,1,24-03-25,Returned,Hyd,20
FK-1059,Customer_59,Books,Rich Dad Poor Dad,,3,09-01-26,Delivered,Mumbai,9
fk-1060,,Home & Kitchen,Prestige Cooker,74980,,May 27 2025,returned,Pune,18
FK-1061,Customer_61,Electronics,Samsung Galaxy M14,70544,1,20-07-25,returned,Mumbai,16
FK-1062,Customer_62,Beauty,Nivea Lotion,₹25462,3,16-04-26,Shipped,Mumbai,13
FK-1063,Customer_63,clothing,Jacket,32168,4,02-10-25,Returned,Kolkata,21
FK-1064,Customer_64,Shoes,Nike Running Shoes,66975,3,,Delivered,Mumbai,N/A
FK-1065,Customer_65,books,Atomic Habits,11961,5,Mar 02 2025,Returned,Hyderabad,30
FK-1066,Customer_66,Electronics,Apple iPhone 15,69858,2,07-08-25,Shipped,Mumbai,24
FK-1067,Customer_67,,Sony Headphones,45830,1,12-01-25,Returned,Kolkata,2
fk-1068,Customer_68,Clothing,Women's Kurta,Rs. 26303,1,29-01-26,Canceled,Bengaluru,3
FK-1069,Customer_69,beauty,Nivea Lotion,-41368,1,26-01-25,Shipped,Bengaluru,N/A
FK-1070,Customer_70,Clothing,Women's Kurta,42696,3,20-10-25,Canceled,Chennai,0
FK-1071,Customer_71,beauty,Lakme Eyeliner,51090,3,21-02-25,delivered,Hyd,9
FK-1072,Customer_72,Shoes,Puma Sneakers,47842,1,07-06-25,Canceled,Pune,29%
FK-1073,Customer_73,Electronics,Apple iPhone 15,9640,1,,returned,Chennai,4
FK-1074,Customer_74,BEAUTY,Lakme Eyeliner,48773,2,17-01-26,Pending,Delhi,NULL
FK-1074,Customer_74,BEAUTY,Lakme Eyeliner,48773,2,17-01-26,Pending,Delhi,NULL
FK-1075,Customer_75,,Boat Airdopes,56207,1,13-11-25,Shipped,Mumbai,NULL
FK-1076,,Beauty,Nivea Lotion,61469,1,04-07-25,Shipped,Bengaluru,28
FK-1077,Customer_77,Clothing,Jeans,47102,1,28-06-25,Returned,Hyderabad,16
FK-1078,Customer_78,Books,Rich Dad Poor Dad,54779,2,05-12-25,Shipped,Hyd,7
FK-1079,Customer_79,Books,Python Crash Course,13799,1,21-04-26,Shipped,BLR,8
fk-1080,Customer_80,ELECTRONICS,Dell Mouse,53565,1,22-07-25,Pending,,6
FK-1081,Customer_81,Electronics,Apple iPhone 15,₹47319,1,17-01-26,returned,Chennai,7
FK-1082,Customer_82,Books,Dune,9922,1,07-02-25,Canceled,Pune,22
FK-1083,Customer_83,Electronics,Boat Airdopes,73437,3,14-05-26,Shipped,Pune,13
fk-1084,Customer_84,,HP Pavilion Laptop,,1,21-01-26,delivered,Hyd,15
FK-1085,Customer_85,Beauty,Lakme Eyeliner,Rs. 15729,,03-03-25,Pending,Pune,9
1086,Customer_86,,Dell Mouse,74592,4,Apr 30 2026,delivered,,1
FK-1087,Customer_87,Books,Dune,-44312,2,Jul 21 2025,Canceled,Chennai,23
FK-1088,Customer_88,Beauty,Nivea Lotion,₹42558,1,07-11-25,Canceled,,10
FK-1089,,Home & Kitchen,Milton Thermos,Rs. 5018,3,13-01-25,Shipped,Bengaluru,29
FK-1090,Customer_90,Electronics,Samsung Galaxy M14,61305,999,07-12-25,returned,,4%
FK-1091,Customer_91,Books,Rich Dad Poor Dad,39616,1,11-09-25,delivered,Chennai,
1092,Customer_92,Home & Kitchen,Pigeon Gas Stove,53215,1,09-02-25,Canceled,Gurgaon,NULL
FK-1093,Customer_93,Shoes,Nike Running Shoes,52676,2,07-04-25,Delivered,Hyd,15
FK-1094,,Clothing,Men's T-Shirt,71236,one,24-04-25,Delivered,Pune,16
FK-1095,Customer_95,,Dell Mouse,3154,-1,30-03-26,Delivered,Hyd,14
FK-1096,Customer_96,Shoes,Puma Sneakers,39909,1,25-04-26,Shipped,Delhi,15
FK-1097,Customer_97,Shoes,Adidas Sliders,20561,1,Jan 30 2025,Delivered,,12
FK-1098,Customer_98,electronics,Dell Mouse,57111,1,14-05-26,returned,Mumbai,17
FK-1099,Customer_99,Home & Kitchen,Pigeon Gas Stove,49061,1,06-11-25,Pending,,24%
FK-1100,Customer_100,Electronics,HP Pavilion Laptop,₹55456,2,29-07-25,returned,Delhi,14
FK-1101,Customer_101,Beauty,Nivea Lotion,10841,1,03-07-25,returned,Chennai,11
1102,Customer_102,Beauty,Lakme Eyeliner,Rs. 55525,4,23-07-25,Delivered,Kolkata,6
FK-1103,Customer_103,Home & Kitchen,Pigeon Gas Stove,39704,1,Oct 02 2025,Pending,Bengaluru,7%
FK-1104,Customer_104,Beauty,Nivea Lotion,₹70436,999,08-12-25,Canceled,Hyderabad,11
FK-1105,Customer_105,Electronics,Dell Mouse,10811,1,21-04-26,Delivered,Delhi,24
FK-1106,Customer_106,Beauty,Lakme Eyeliner,73199,1,24-02-26,Canceled,Pune,23
FK-1107,Customer_107,electronics,Sony Headphones,26967,1,16-01-25,Returned,Pune,8
FK-1108,Customer_108,Books,Rich Dad Poor Dad,60591,-1,Oct 01 2025,Canceled,Chennai,5
FK-1109,Customer_109,Books,Atomic Habits,Rs. 23894,1,27-01-26,Pending,Hyd,27
FK-1110,Customer_110,Home & Kitchen,Pigeon Gas Stove,Rs. 18802,,,Shipped,Delhi,N/A
FK-1111,Customer_111,Books,Dune,₹13024,1,,Canceled,Bengaluru,6%
FK-1112,Customer_112,Clothing,Jacket,42168,5,29-01-26,Delivered,Hyd,20
FK-1113,Customer_113,Beauty,Maybelline Lipstick,12756,2,04-02-25,Shipped,Delhi,3%
FK-1114,Customer_114,Home & Kitchen,Pigeon Gas Stove,30399,3,04-08-25,Pending,Hyderabad,2
FK-1115,Customer_115,Electronics,HP Pavilion Laptop,₹57572,1,26-02-26,Delivered,,25
fk-1116,Customer_116,HOME & KITCHEN,Milton Thermos,Rs. 64213,2,Apr 22 2026,returned,Gurgaon,16
FK-1117,Customer_117,Books,Python Crash Course,₹70256,3,07-12-25,Pending,Bengaluru,0
FK-1118,Customer_118,CLOTHING,Jeans,Rs. 53819,1,13-05-25,Delivered,Pune,30
FK-1119,,Beauty,Nivea Lotion,8964,5,Apr 10 2025,Pending,Delhi,27
FK-1120,Customer_120,Electronics,Dell Mouse,24265,5,30-01-26,Shipped,Pune,14%
FK-1121,Customer_121,Books,Atomic Habits,64277,5,20-09-25,Pending,Mumbai,20%
FK-1122,Customer_122,Electronics,Sony Headphones,26483,1,19-04-26,Delivered,Pune,7
FK-1123,Customer_123,Books,Rich Dad Poor Dad,61890,1,11-08-25,delivered,Hyd,12
FK-1124,Customer_124,beauty,Maybelline Lipstick,Rs. 6984,1,20-04-25,delivered,Gurgaon,30
FK-1125,Customer_125,Home & Kitchen,Pigeon Gas Stove,19501,2,15-04-26,delivered,Hyderabad,10
FK-1126,Customer_126,Books,Rich Dad Poor Dad,55203,1,22-05-25,Pending,Delhi,27
FK-1127,Customer_127,beauty,Lakme Eyeliner,52021,1,22-01-26,Returned,Chennai,17%
FK-1128,Customer_128,Shoes,Puma Sneakers,68742,2,24-04-26,Canceled,Gurgaon,4
FK-1129,Customer_129,CLOTHING,Jeans,41010,1,19-03-25,Pending,Hyderabad,1
FK-1130,,Books,Atomic Habits,42032,1,28-03-25,Pending,Hyderabad,19
FK-1131,Customer_131,Home & Kitchen,Prestige Cooker,27571,3,23-03-26,Delivered,,24
FK-1132,Customer_132,Shoes,Adidas Sliders,17637,3,20-03-25,Canceled,BLR,23
FK-1133,Customer_133,Beauty,Maybelline Lipstick,6967,3,09-03-25,Shipped,Mumbai,6
FK-1134,Customer_134,beauty,Maybelline Lipstick,54794,1,24-01-25,Delivered,Mumbai,30
FK-1135,,Clothing,Women's Kurta,12015,1,26-08-25,Canceled,Pune,13
FK-1136,Customer_136,Books,Dune,33045,1,11-01-26,Shipped,Hyd,2
fk-1137,Customer_137,Shoes,Adidas Sliders,₹38037,3,28-08-25,Returned,,24
1138,,Books,Rich Dad Poor Dad,44716,1,26-11-25,Delivered,Pune,5
FK-1139,Customer_139,Home & Kitchen,Bajaj Iron,₹15162,1,07-11-25,Pending,,26
FK-1140,Customer_140,Beauty,Lakme Eyeliner,72917,1,,Delivered,Bengaluru,19
FK-1141,Customer_141,Shoes,Puma Sneakers,73610,3,20-01-26,Shipped,Hyderabad,5
FK-1142,,books,Python Crash Course,36949,3,20-02-25,Returned,Gurgaon,15%
FK-1143,Customer_143,Home & Kitchen,Prestige Cooker,₹74489,3,04-01-25,Shipped,Kolkata,11
1144,Customer_144,Home & Kitchen,Bajaj Iron,38484,1,Mar 03 2025,returned,Mumbai,13
FK-1145,Customer_145,Shoes,Nike Running Shoes,Rs. 55704,1,05-07-25,Shipped,Gurgaon,29
FK-1146,Customer_146,Beauty,Lakme Eyeliner,30533,1,,Pending,Mumbai,2%
FK-1147,Customer_147,Books,Dune,53320,3,21-02-26,Shipped,,
FK-1148,Customer_148,Clothing,Women's Kurta,19039,1,02-05-25,returned,,29
FK-1149,,Beauty,Lakme Eyeliner,66957,2,21-07-25,Pending,BLR,2
FK-1150,Customer_150,Books,Rich Dad Poor Dad,39601,1,18-05-25,Delivered,Hyderabad,14
FK-1150,Customer_150,Books,Rich Dad Poor Dad,39601,1,18-05-25,Delivered,Hyderabad,14
FK-1151,Customer_151,Books,Python Crash Course,33935,1,Nov 01 2025,Delivered,Bengaluru,7
FK-1152,Customer_152,Clothing,Men's T-Shirt,44141,3,10-04-26,delivered,Mumbai,14
FK-1153,Customer_153,Electronics,Dell Mouse,59445,2,06-05-25,Shipped,Hyderabad,8%
FK-1154,Customer_154,Shoes,Puma Sneakers,40654,1,May 16 2026,delivered,Hyderabad,8
FK-1155,Customer_155,Home & Kitchen,Pigeon Gas Stove,43392,1,23-08-25,delivered,,15%
fk-1156,Customer_156,Books,Rich Dad Poor Dad,Rs. 64751,2,28-06-25,Returned,BLR,N/A
FK-1157,Customer_157,Books,Dune,69526,1,14-04-25,Returned,Hyd,13
FK-1158,Customer_158,Electronics,Sony Headphones,48624,1,28-08-25,Pending,,12
FK-1159,Customer_159,home & kitchen,Bajaj Iron,17979,3,25-11-25,delivered,,N/A
FK-1160,Customer_160,SHOES,Nike Running Shoes,70546,3,14-06-25,Returned,Delhi,N/A
FK-1161,Customer_161,Clothing,Men's T-Shirt,9980,1,15-10-25,Delivered,Chennai,20
FK-1162,Customer_162,Beauty,Nivea Lotion,58097,2,21-03-25,Pending,Delhi,29
fk-1163,Customer_163,Home & Kitchen,Milton Thermos,22297,2,Mar 28 2025,Shipped,Bengaluru,9
FK-1164,Customer_164,Home & Kitchen,Bajaj Iron,₹47478,1,19-03-25,Shipped,BLR,12
FK-1165,Customer_165,Shoes,Adidas Sliders,55422,999,22-05-25,Canceled,Delhi,20
FK-1166,Customer_166,Electronics,Apple iPhone 15,Rs. 39174,2,16-03-25,Shipped,Bengaluru,28
FK-1167,Customer_167,Clothing,Jeans,53638,1,14-04-25,Returned,Delhi,14
fk-1168,Customer_168,,Sony Headphones,60800,1,10-08-25,Delivered,BLR,N/A
FK-1169,Customer_169,BEAUTY,Maybelline Lipstick,Rs. 72214,1,22-08-25,Returned,BLR,13
FK-1170,Customer_170,Electronics,Sony Headphones,-31311,1,19-11-25,Pending,Mumbai,14
FK-1171,Customer_171,Home & Kitchen,Prestige Cooker,73169,3,10-06-25,Delivered,Hyderabad,11
FK-1172,Customer_172,Clothing,Saree,35766,1,13-07-25,delivered,Kolkata,23
FK-1173,Customer_173,Books,Atomic Habits,43501,1,02-01-25,delivered,Kolkata,9
FK-1174,Customer_174,Shoes,Puma Sneakers,7199,2,14-10-25,delivered,Kolkata,30
FK-1175,Customer_175,Clothing,Jeans,35326,2,28-04-25,Shipped,Gurgaon,0
FK-1176,Customer_176,Home & Kitchen,Pigeon Gas Stove,Rs. 28392,1,05-01-25,delivered,BLR,8
FK-1177,Customer_177,electronics,Sony Headphones,6299,1,09-04-26,Canceled,Hyd,25
FK-1178,Customer_178,Electronics,HP Pavilion Laptop,52331,3,31-03-25,Canceled,Hyderabad,20
FK-1179,Customer_179,Clothing,Jacket,64677,1,May 05 2025,returned,Pune,4
FK-1180,Customer_180,Beauty,Lakme Eyeliner,28535,1,Oct 24 2025,returned,Hyderabad,22%
FK-1181,Customer_181,shoes,Adidas Sliders,74604,2,02-02-25,delivered,Delhi,5
FK-1182,Customer_182,Electronics,Samsung Galaxy M14,13404,1,03-01-26,Shipped,Chennai,N/A
FK-1183,Customer_183,Shoes,Adidas Sliders,1292,3,17-01-25,Canceled,Chennai,28
FK-1184,Customer_184,Clothing,Saree,24186,3,28-06-25,Returned,Pune,11
FK-1185,Customer_185,Clothing,Women's Kurta,39860,1,30-08-25,Pending,BLR,19
FK-1186,Customer_186,Electronics,Apple iPhone 15,-44257,2,17-12-25,Returned,BLR,1
FK-1187,Customer_187,Clothing,Women's Kurta,,1,,returned,Delhi,21
FK-1188,Customer_188,Beauty,Lakme Eyeliner,52359,1,Apr 08 2025,Delivered,Gurgaon,9
FK-1189,Customer_189,Clothing,Saree,₹1486,2,21-05-25,Returned,,12
FK-1190,Customer_190,Beauty,Maybelline Lipstick,3974,1,02-11-25,Canceled,Hyd,10
FK-1191,Customer_191,Beauty,Lakme Eyeliner,35193,,Jan 16 2025,Returned,Chennai,NULL
FK-1192,Customer_192,Home & Kitchen,Milton Thermos,4682,1,,Returned,BLR,19
1193,Customer_193,Books,Atomic Habits,66372,2,25-08-25,Canceled,Mumbai,16
FK-1194,Customer_194,Beauty,Lakme Eyeliner,37417,1,19-12-25,delivered,Mumbai,16
FK-1195,Customer_195,Shoes,Puma Sneakers,31263,1,09-05-26,Pending,Hyderabad,30
FK-1196,Customer_196,Beauty,Maybelline Lipstick,Rs. 63725,one,07-10-25,Canceled,Bengaluru,1
FK-1197,Customer_197,Electronics,HP Pavilion Laptop,10802,1,Jul 02 2025,Delivered,Bengaluru,25
FK-1198,,Books,Dune,46121,1,,Shipped,Hyd,15
FK-1199,Customer_199,clothing,Jeans,-32873,2,03-10-25,Pending,Hyd,NULL
FK-1200,Customer_200,Clothing,Jacket,53670,1,18-05-25,delivered,Gurgaon,26
FK-1201,Customer_201,Home & Kitchen,Bajaj Iron,55003,2,31-10-25,Canceled,,28
FK-1202,Customer_202,Shoes,Puma Sneakers,33684,2,Jul 18 2025,Canceled,Hyd,30
FK-1203,Customer_203,Electronics,Dell Mouse,52552,1,21-11-25,returned,Kolkata,0
FK-1204,Customer_204,Beauty,Nivea Lotion,Rs. 28562,1,21-01-25,Canceled,Mumbai,6
FK-1205,Customer_205,Clothing,Men's T-Shirt,₹39229,1,19-05-25,Pending,Mumbai,23
FK-1206,Customer_206,Home & Kitchen,Pigeon Gas Stove,37835,5,22-02-25,returned,BLR,9
FK-1207,Customer_207,Shoes,Puma Sneakers,31655,1,20-05-25,Shipped,Hyd,13
FK-1208,Customer_208,Clothing,Women's Kurta,39581,1,17-07-25,Returned,Kolkata,6
FK-1209,Customer_209,Clothing,Jacket,44599,3,11-09-25,returned,BLR,23
FK-1210,Customer_210,Books,Rich Dad Poor Dad,17365,2,07-04-26,delivered,Kolkata,4
fk-1211,Customer_211,Beauty,Maybelline Lipstick,578,1,17-09-25,returned,Delhi,28
FK-1212,Customer_212,Books,Rich Dad Poor Dad,24024,2,22-02-25,Delivered,Kolkata,7
FK-1213,,Beauty,Nivea Lotion,63445,-1,Apr 17 2026,returned,Hyderabad,0
FK-1214,Customer_214,Books,Rich Dad Poor Dad,39855,1,21-01-26,Delivered,Hyderabad,
FK-1214,Customer_214,Books,Rich Dad Poor Dad,39855,1,21-01-26,Delivered,Hyderabad,
FK-1215,,Home & Kitchen,Bajaj Iron,Rs. 18435,2,11-02-26,Shipped,Hyderabad,25
fk-1216,Customer_216,Shoes,Puma Sneakers,64011,5,18-03-25,Delivered,,12%
FK-1217,Customer_217,Books,Dune,15923,1,19-02-26,Pending,Mumbai,17
FK-1218,Customer_218,Clothing,Women's Kurta,6550,2,19-09-25,Shipped,BLR,23
FK-1219,Customer_219,clothing,Men's T-Shirt,28232,1,20-01-25,Canceled,Chennai,N/A
FK-1220,Customer_220,Shoes,Adidas Sliders,49311,2,Jun 22 2025,Pending,Pune,10
FK-1221,Customer_221,Home & Kitchen,Pigeon Gas Stove,Rs. 20723,999,03-04-26,returned,BLR,N/A
FK-1222,Customer_222,Clothing,Jeans,28054,1,24-03-26,Delivered,Hyderabad,20%
FK-1223,Customer_223,Shoes,Puma Sneakers,,1,05-11-25,Delivered,Hyd,2
FK-1224,Customer_224,Beauty,Lakme Eyeliner,₹55518,1,08-02-26,Returned,Gurgaon,28
FK-1225,Customer_225,Books,Atomic Habits,22276,1,10-01-26,Returned,Hyderabad,30
FK-1226,Customer_226,Beauty,Maybelline Lipstick,72453,2,09-08-25,Returned,Hyderabad,25
FK-1227,Customer_227,Electronics,Apple iPhone 15,₹60995,2,20-08-25,delivered,Mumbai,3
FK-1228,Customer_228,Books,Rich Dad Poor Dad,,5,08-07-25,Canceled,Pune,27
FK-1229,Customer_229,BEAUTY,Lakme Eyeliner,Rs. 817,3,31-03-26,returned,Bengaluru,18
FK-1230,Customer_230,Clothing,Men's T-Shirt,62824,1,06-01-26,Canceled,Pune,18
FK-1231,Customer_231,Beauty,Lakme Eyeliner,56615,1,09-05-26,delivered,Pune,16
FK-1232,Customer_232,Books,Dune,4030,1,17-07-25,Returned,Bengaluru,24
FK-1233,,Books,Dune,19516,1,21-07-25,Canceled,Mumbai,15
FK-1234,Customer_234,Electronics,Sony Headphones,42853,1,29-07-25,Shipped,Mumbai,23
FK-1235,Customer_235,beauty,Nivea Lotion,40929,one,02-06-25,Shipped,Hyderabad,15
FK-1236,Customer_236,Beauty,Lakme Eyeliner,39943,999,14-04-25,Returned,Gurgaon,8
FK-1237,Customer_237,Beauty,Maybelline Lipstick,29606,4,Apr 18 2025,Delivered,,N/A
fk-1238,Customer_238,Beauty,Maybelline Lipstick,58448,1,24-01-26,Returned,Chennai,NULL
FK-1239,Customer_239,Books,Atomic Habits,Rs. 66572,5,,Canceled,BLR,30%
FK-1240,Customer_240,Shoes,Puma Sneakers,,1,11-02-25,Pending,Gurgaon,10
FK-1241,Customer_241,Electronics,Apple iPhone 15,24530,1,08-11-25,Returned,Bengaluru,N/A
FK-1242,Customer_242,beauty,Lakme Eyeliner,₹26689,1,01-05-25,Canceled,Kolkata,3
FK-1243,Customer_243,Beauty,Lakme Eyeliner,,1,04-09-25,delivered,Hyd,10%
FK-1244,Customer_244,Electronics,Boat Airdopes,42704,2,11-11-25,Delivered,BLR,8
FK-1245,Customer_245,Beauty,Maybelline Lipstick,Rs. 45523,2,10-02-25,Canceled,Mumbai,3
FK-1246,,Books,Rich Dad Poor Dad,60297,4,,returned,Hyd,1%
FK-1247,Customer_247,Beauty,Lakme Eyeliner,5484,4,13-06-25,Canceled,Hyderabad,2
fk-1248,Customer_248,Electronics,Samsung Galaxy M14,59828,-1,28-10-25,Pending,Hyd,18
FK-1249,Customer_249,Shoes,Puma Sneakers,16335,2,17-09-25,Canceled,Gurgaon,14
fk-1250,Customer_250,Clothing,Women's Kurta,₹29804,1,21-04-26,Canceled,Bengaluru,12
FK-1251,Customer_251,clothing,Jacket,32619,2,17-07-25,Pending,Mumbai,2
FK-1252,Customer_252,Books,Rich Dad Poor Dad,21256,4,24-02-25,Delivered,Mumbai,0
FK-1253,Customer_253,Clothing,Jacket,5468,2,16-05-25,Pending,Delhi,2
FK-1254,,Books,Atomic Habits,25896,1,18-04-26,Delivered,Delhi,20
FK-1255,Customer_255,Home & Kitchen,Pigeon Gas Stove,₹40342,-1,11-04-26,Canceled,Hyderabad,15
FK-1256,Customer_256,Books,Atomic Habits,6276,1,07-04-26,Returned,Hyderabad,6
FK-1257,Customer_257,Electronics,Apple iPhone 15,36021,1,07-05-25,returned,Delhi,5
FK-1258,Customer_258,Electronics,Boat Airdopes,Rs. 25514,1,04-01-26,Pending,Hyderabad,10
FK-1259,Customer_259,,HP Pavilion Laptop,Rs. 44577,2,01-03-25,Delivered,Hyd,7
FK-1260,Customer_260,Beauty,Maybelline Lipstick,46658,1,28-02-25,Canceled,Gurgaon,18
FK-1261,Customer_261,Clothing,Men's T-Shirt,3098,1,Jun 24 2025,Canceled,Chennai,2
FK-1262,Customer_262,Books,Rich Dad Poor Dad,₹3182,1,24-12-25,Shipped,Bengaluru,28
FK-1263,Customer_263,,Apple iPhone 15,-40557,one,Mar 25 2025,Canceled,Hyd,28
FK-1264,Customer_264,Shoes,Nike Running Shoes,66436,3,06-12-25,Returned,Mumbai,7
FK-1265,Customer_265,Home & Kitchen,Bajaj Iron,24726,one,24-05-25,returned,Chennai,19
FK-1266,Customer_266,Shoes,Nike Running Shoes,31753,1,,Canceled,Chennai,19
FK-1267,Customer_267,Books,Python Crash Course,10860,3,08-05-26,returned,Hyd,NULL
FK-1268,Customer_268,,Boat Airdopes,30401,1,27-10-25,delivered,Bengaluru,4
1269,Customer_269,Beauty,Lakme Eyeliner,17662,1,Jan 24 2026,Returned,,21
FK-1270,Customer_270,Shoes,Puma Sneakers,Rs. 5355,1,30-01-26,returned,Hyderabad,20
FK-1271,Customer_271,Clothing,Jeans,₹52043,1,05-02-26,Returned,Gurgaon,24
FK-1272,Customer_272,Beauty,Nivea Lotion,₹38216,1,01-05-25,delivered,,4
FK-1273,Customer_273,Beauty,Maybelline Lipstick,12908,2,Feb 23 2026,Returned,Hyd,17
FK-1274,Customer_274,Electronics,HP Pavilion Laptop,Rs. 24650,1,04-04-25,Delivered,Mumbai,
FK-1275,Customer_275,Books,Python Crash Course,11599,1,17-10-25,Delivered,,20
FK-1276,,Beauty,Maybelline Lipstick,27591,4,09-06-25,Returned,Hyderabad,26
FK-1277,Customer_277,Books,Rich Dad Poor Dad,13289,3,21-02-25,Pending,Hyderabad,20%
fk-1278,Customer_278,Clothing,Men's T-Shirt,16183,3,13-10-25,Pending,Bengaluru,10
